index,pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_mass,st_rad,sy_dist,sy_vmag,rastr,decstr
138,TOI-1181 b,TOI-1181,Transit,2022,2.103189,17.026,374.71969,,6054,1.47,1.96,302.819,10.582,19h48m51.80s,+64d21m15.66s
139,TOI-1184 b,TOI-1184,Transit,2024,5.748432,2.41,6.8,715,4617,0.73,0.7,58.5946,10.988,18h08m49.08s,+60d40m43.62s
140,TOI-1194 b,TOI-1194,Transit,2023,2.3106446,8.717,120,1264,5394,0.98,0.96,149.667,11.302,11h11m17.16s,+69d57m53.19s
141,TOI-1199 b,TOI-1199,Transit,2024,3.671463,10.514,75.96099,1486,5710,1.23,1.45,248.427,11.093,11h07m31.36s,+61d21m09.26s
142,TOI-1201 b,TOI-1201,Transit,2021,2.4919863,2.415,6.28,703,3476,0.51,0.51,37.8871,12.26,02h48m59.45s,-14d32m14.22s
143,TOI-122 b,TOI-122,Transit,2020,5.07803,2.72,,471,3403,0.31,0.33,62.118,15.526,22h11m47.58s,-58d56m45.91s
144,TOI-1221 b,TOI-1221,Transit,2023,91.68278,2.91,1112.39942,440,5592,0.93,1.03,138.411,10.494,07h11m41.05s,-65d30m31.88s
145,TOI-1224 b,TOI-1224,Transit,2024,4.1782745,2.104,,541,3326,0.4,0.4,37.3312,13.95,02h28m47.48s,-80d53m56.78s
146,TOI-1224 c,TOI-1224,Transit,2024,17.945466,2.884,,,3326,0.4,0.4,37.3312,13.95,02h28m47.48s,-80d53m56.78s
147,TOI-1227 b,TOI-1227,Transit,2022,27.36397,9.572,,,3072,0.17,0.56,100.641,16.999,12h27m04.17s,-72d27m06.66s
148,TOI-1231 b,TOI-1231,Transit,2021,24.245586,3.65,15.4,330,3553,0.48,0.48,27.6227,12.36,10h26m59.34s,-52d28m04.34s
149,TOI-1235 b,TOI-1235,Transit,2020,3.444714,1.69,6.69,,3997,0.63,0.62,39.6345,11.495,10h08m52.38s,+69d16m35.83s
150,TOI-1244 b,TOI-1244,Transit,2024,6.4003,2.376,6.6,715,4722,0.75,0.72,102.551,11.929,17h05m07.09s,+69d31m08.73s
151,TOI-1246 b,TOI-1246,Transit,2022,4.30744,3.01,8.1,955,5151,0.87,0.86,169.422,11.632,16h44m27.81s,+70d25m47.97s
152,TOI-1246 c,TOI-1246,Transit,2022,5.904137,2.451,9.1,862,5213,0.89,0.86,169.422,11.632,16h44m27.81s,+70d25m47.97s
153,TOI-1246 d,TOI-1246,Transit,2022,18.654874,3.431,5.4,588,5213,0.89,0.86,169.422,11.632,16h44m27.81s,+70d25m47.97s
154,TOI-1246 e,TOI-1246,Transit,2022,37.92548,3.514,14.5,464,5213,0.89,0.86,169.422,11.632,16h44m27.81s,+70d25m47.97s
